fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0 21239CC313A28B3E6CEE48D949BF7787471B1519,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
0000001dxx B9609624E26C705289E57F95E30FD88D159BD8AD,886,890,890,890,890,890,890,890,890,744,744,744,744,744,744,744,744,740,740,740,740,740,740,740
0001 2BD1936E0B4D5BB615CF99B0CFF74EAF19426888,6720,6720,6720,6720,6720,6720,6720,6720,6720,7430,6650,6650,6650,6650,6650,6650,6650,6650,6650,6650,6650,6650,6650,6650
0ZQIX7g6 BB0C636DE89CAC6C995CB380AAC8C4AAAB731BA8,5700,5700,5700,5700,5700,5700,5700,5700,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
0e4f10e596ff613288 7B258F55B16195A3DD864FC7D12E2593ADF094CB,297,297,297,297,297,309,309,309,309,309,309,309,309,309,309,343,378,378,378,378,378,378,378,378
0s1nt0 60275B52E810407658FD4278EDB1749C75F956F9,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,93300,93300,93500,94100,94100,94200,94700
0x0xxPowerEXITxx0x0 714C48C1C486123AA2D4DEAA0C8EB7EAADF60824,2900,2900,2900,2900,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2920
0x161 DE249072AE90689D997D92EBEC77C38A2024DB05,2700,2700,2700,2700,2680,2680,2670,2650,2640,2630,2700,2700,2750,2750,2760,2780,2800,2820,2830,2840,2870,2880,2900,2910
0x1ea7deadbeef F475E5987E44A2B7B143A2BEE3F8128EEFD7E5A3,15000,15000,15000,15000,15000,15000,18500,18400,15200,15200,15000,15000,15000,15000,15000,15000,15000,14100,14100,14100,14100,14100,14100,14100
0x3d003 2F9A6B5ADBE91EC69F55AAFB7DC49619D31B8324,38200,38200,38200,38200,38200,38000,38000,38000,38000,38000,39000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,42000,42000,42000,42000,47000,47000,47000,47000,47000,47000,49000,49000,50000,49000,49000,49000,49000,49000,49000,49000,49000,49000,50000,50000
0x3d069 05DDBB74AAB6F19E003188702B1E54F23035D064,760,867,867,867,867,867,867,867,867,867,867,867,867,867,867,867,760,760,760,760,760,760,760,760
0x42FF 41F204CF3AE4472E5F1C9456A47FE4DFA282D4C1,9010,8820,8900,8900,8900,9600,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960
0x616e6f6e 0020D8A204A81FC8C8A1D79E2324621705DE4F2F,11200,10100,10100,10100,10100,10100,12000,12000,12000,12000,12000,10800,10800,10800,10800,10800,10800,10700,10700,10700,9750,9750,9750,9750
0x616e6f6e 3F50D11DE55C028B8F3EFC272BB1CD9138C1F9A4,430,430,430,430,350,350,350,350,350,350,350,370,370,370,370,370,370,370,370,370,370,370,370,370
0x616e6f6e BBAD321D682C6ADA699CD083269CFB5FB71CDEE0,4130,4000,4000,4350,4370,4370,4370,4370,4370,4370,4350,4350,4100,4200,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010
0x616e6f6e BCE2851120595E76E31645633F5FF4771D2097BD,11100,11100,11100,11100,11100,11900,11900,11900,11900,11900,11900,11000,11000,11000,11000,11000,11000,11000,11600,11600,11000,11000,11000,11000
0x616e6f6e DE514E42528D4FB8B79804B561008B482B91D402,4200,4200,4200,4200,4200,4200,4200,4200,4200,4110,4110,4110,4110,4110,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920
0x64657573 2F77315CAE477550E47773BA5B1323F7FFBE3A3E,10200,10200,10200,10600,10600,10600,10600,10600,10600,10600,10800,10800,10800,10800,10800,10900,10900,10900,10900,11000,11000,11000,11000,11000
0xDEADBEEF 98325A5EBC4ABD0C94C11B43C254102BE19C5AAB,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,4350,4350,4350,4350,4350,4350,4350,2930,2930
0xPinkmansRelay4You EDE7265121B2FFD3AA956E921A469E4C3CDAED83,908,908,908,908,908,908,908,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
0xTorUniqId002 35017CFAE54845B1DF5D16B15B9D368C36098B64,30,30,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
0xbadc0ffe 22BE1A6F9DC277BC2FA8A50FF627AA7A22D97C86,422,427,427,427,427,427,427,427,427,427,427,348,350,350,350,350,348,348,348,348,340,340,340,340
0xbaddad EA8637EA746451C0680559FDFF34ABA54DDAE831,5300,5300,5300,5300,5300,5300,5300,5300,6450,6440,6440,6440,6440,6470,6470,6490,6510,6540,6580,6640,6660,6680,6690,6730
0xdeadbad AE4FAE2EB5DC5D078458F0FCBF2B37F5D73F0868,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8500,8620,8620,8620,7500,7500,7500,7500,7500,7500,7500
0xdeadbeef D1B853ED27E4DFDCA3A54D3F2E269C4D94677F66,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,10300,10300,10300,10400,10500,10000,10000,10000,9990
0xdeadbeef2 805C262C1459362A1196D10D885008A7D4C6A584,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
0xygen 7F1A90F3E4A6A2EE347274F8E91514D18350C016,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1001nybrgsvgn17 E78B8256253D0C45E5ECDE44B328863AB5123050,110,110,110,110,110,110,110,110,110,110,110,110,110,100,110,110,110,110,110,110,110,110,110,110
111f5dfe06e6b0d620 D2B279F7CF20730A91F76CF9D2BAA5F0419B6B85,86,86,86,86,86,86,86,86,86,86,86,108,108,108,108,108,108,85,85,85,85,85,76,76
