index,fingerprint,mean_bw
4622,niftyporcupine 7E281CD2C315C4F7A84BC7C8721C3BC974DDBFA3,51115.98109640831
4565,niftybeaver 6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,28315.731884057972
722,FTF2020 A2305F159F94D1B924863EEBF77AD3FCAC87048E,19906.643194706998
5513,tor4ever1 7495B92F8E57E0795CEE7F16104CC5C90FC36D0D,16695.700141776935
1586,Quintex45 764BF8A03868F84C8F323C1A676AA254B80DC3BF,14781.720856962824
3140,bemyak 60E1587C0B7EA1462B67FC0706C0C7298A7F64D0,13392.787098298677
365,BobsHouseLU02 5832668C21FF375C6B77A9BEB01E2BFDC7CD9C43,12005.78347511027
2677,Unnamed D7DC4BAC88169F9D551221E22C347613A3692FC0,10785.831442974164
4730,notanotherrelay D168404FBEECA2AE975172EF7172D5FB52C86633,9595.815374921236
1069,JongeDemocraten 69620419A3D0077272B2EA3952A1F46880FDFAE5,8234.650283553876
4922,pumpa B82D54B92FC8F985B4E3F805288F61632A5DAF61,6563.739209199749
