fingerprint,mean_bw
niftyporcupine 7E281CD2C315C4F7A84BC7C8721C3BC974DDBFA3,51115.98109640831
F3Netze 7327876AE79C997DFE311A7B15B4FA875736BBD1,50484.52473219911
niftyrabbitrat 25526E61B8BC22B662E3D4A50504021CC3D9873D,49166.55088216762
F3Netze 8E38B11E849336D62AB6264FBAE9B03C70F07863,49006.53040327662
niftyquokka 906DCB390F2BA987AE258D745E60BAAABAD31DE8,48928.786704473845
niftytamiasaristus 88AE3BC088396F1D3FCC4F2F588C0DC837599D20,48206.89193446755
6mctr01 60820A2820446DD90E068ED3E121497C809F3D65,47663.920604914936
nightie 1294BE2AC2028BF50A15AF077B2E8F33EE46222C,46867.305450535605
F3Netze 719FD0FA327F3CCBCDA0D4EA74C15EA110338942,46866.31994328922
niftypedetidae 71CFDEB4D9E00CCC3E31EC4E8A29E109BBC1FB36,46484.97605545055
niftylolth 76AB50C3EC0472A63AFB9A833A535FA6BD691478,45638.02236925016
F3Netze 939126EA4D25CB212A79746C133194F8A24C435B,45080.940926275995
F3Netze 9454F82D47EBA0CB0C2A4BFE7966181DBF108147,45019.05348141147
TORzan 5814E18E7C430656DDDB607385DC5E3F518CD833,44931.09089477
niftyrat FDA70EC93DB01E3CB418CB6943B0C68464B18B4C,44847.42564587271
niftypygmyjerboa 9B816A5B3EB20B8E4E9B9D1FBA299BD3F40F0320,44789.2643352237
nikomo D002C061F56CB6FE6FF7A27747EC2A7369ABBA9A,44730.42596093258
niftytamiasatsali 957354D72042719C310A907FBFE42A3232C78757,44636.46030245747
niftywatersgerbil E97DAC45ED2AB46DD830A279BDCC7AFCE10EE674,44605.12208569628
niftypedetes 92A6085EABAADD928B6F8E871540A1A41CBC08BA,44525.376575299306
niftysugarglider 47C42E2094EE482E7C9B586B10BABFB67557030B,43847.5143352237
F3Netze 6BCB964AB74E23F8986BDA905697D3A6BE08AF28,43799.971723377435
F3Netze 50AA9FEA6A3A609686276C4CF0C2A1AFB2ECCA1B,43492.95762444865
niftyllipika 7DC52AE6667A30536BA2383CD102CFC24F20AD71,43408.61137366099
5efd8dd DC79C9D75CFD7A91F9232922E05D225CBDCB7703,43231.88815374921
ExitNinja 749EF4A434DFD00DAB31E93DE86233FB916D31E3,43203.94289540013
niftyhousemouse E4B04C7D734B2294E8ECE057303E89B91EE88462,43164.316635160685
niij02 0B85617241252517E8ECF2CFC7F4C1A32DCD153F,43014.55702583491
niftymouse 24E91955D969AEA1D80413C64FE106FAE7FD2EA9,43007.22140831757
nigelFarageWozEre 4D2FCB3C654AD6AFCA4AF87E87AE72735F643D8B,42864.42903276623
niftyredsquirrel 97D2A26EA5C9972E66D23F4698E94DBDBA8F6C18,42551.733616887206
F3Netze 9971F51A3274758B5C59E1D6580ED2C13E13CBEC,42124.730623818534
niftyvolcanorabbit C08DE49658E5B3CFC6F2A952B453C4B608C9A16A,42093.49322621298
nitrohorse 2B5ED281A399E1FC1C7C0964F349B12A175DDE07,41954.543163201015
niftypika B771AA877687F88E6F1CA5354756DF6C8A7B6B24,41853.743541272845
F3Netze 98F793C7320CE3C15A45353AFCC165747A40366D,41824.121613106494
Eyjafjallajoekull 3F65766ADE067D9D08920E3B74DAB9040EDD26B2,41661.15367044739
niftymastomys 24E1C6412183972BFD76D838AC04D1ED261743D3,41633.035680529305
niftyleithia F8E9C0C3A4B61E7599AA7A23D7ADE77E5BAB2663,41623.79276937618
niftyphoberomys 87D73471FDC64BD9CEDF84435D20CA4EB5C36FE8,41606.21723377442
niftysteppemarmot 48BE372CA2104D2422D49CD321060E7F697B52D9,41415.582703213615
niftyneochoerus 2A231A5CA7AF91029B7475511D7D16DF85EC9221,41302.40611216131
niftywoodlemming 3F129FB71EB2B019B47403A5552EB2D40E5369F2,41299.98834278513
Express 354593422BF35BF8BEBDC8541464880B9B071941,41292.993068683056
niftycongogerbil 85A3AC041E3FCD796AF5D653953D5E27A56E3719,41159.73724007561
niftyhornedgopher 6C64AE6D7EFDA52A463FB6ADCDAE2D2DDE0677C3,41056.49810964083
niftyjackrabbit CA37CD46799449D83B6B98B8C22C649906307888,40642.924385633276
niftywoodmouse 14877C6384A9E793F422C8D1DDA447CACA4F7C4B,40180.145715185885
niftytucotuco 619349D82424C601CAEB94161A4CF778993DAEE7,40174.99401386263
niftymuskrat 7D921363817BE896B5462E90033DA937BEF7CE3F,39909.80222117203
niij03 A9406A006D6E7B5DA30F2C6D4E42A338B5E340B2,39802.96077504726
niij01 230A8B2A8BA861210D9B4BA97745AEC217A94207,39678.1175173283
niftylaogzed CBF0CCD9D80D7A2F82E4FB61C36FB6898A4EBA50,39413.77890674227
F3Netze 62F4994C6F3A5B3E590AEECE522591696C8DDEE2,39406.7974952741
niftytreerat FAEC86A9A37152F0371D67917ABA398467DFBD9C,39394.41792690611
niftydiatomys A016192D0A87FC9354A7523A211BBD9CF859708B,39375.25693131695
niftyredrockrat 9B94A776DA2C0B974BF4E06A352133EDFE62036C,39194.91020793951
niftysquirrel 348B89013EDDD99E4755951D1EC284D9FED71226,39049.86838374291
TORro 0B555940D37DC849728841C0B290074E1A1BDCA8,39047.73156899811
ULayerEllsberg 71DF8174D809D862445BFCB89F5A0980099947EC,38945.79363579081
niftyhedgehog 1084200B44021D308EA4253F256794671B1D099A,38910.67225897921
0x3d003 2F9A6B5ADBE91EC69F55AAFB7DC49619D31B8324,38681.85255198488
niftygrazzt 47A3D00525F041F382B398BF95BC58E0EC23276B,38513.37003780719
F3Netze 9973E1E9730A58FDBA9E112D2B3342D2C0D921B5,38470.576323251415
niftyhutia 6CADB707B2E0170B5F13557E42DB7E5C151CC0BC,38390.61247637051
nl1xtracodews DC2E059C157322DF555F2041601EDF7E69655E04,38373.7859168242
niftyspinymouse 986E29FB17C8C7A1FEAFF203F012D5930BA079DB,38351.42068367991
niftylinkrat 5DE37A3371AAE7638748EB43C9F1CE66E09D4470,38167.75551354758
niftyfoxsquirrel 9910C6DEEA9907EE7AEFCE0DA072F94F86EBFD48,37992.00448960303
nighthawk 2119E5A4B5F420165BF5DF19A5A28F4610FFD103,37772.80639571519
niftyjunipervole EDC4243F57F9B856B400398D5F6C354F8408EEA9,37555.04213925646
nionyn 71D15B4A7DD9FB70B0E1439F7D350B8FACCFC306,37554.44384057971
niftyshrew A39721D284AA1ED1AE87AE63523535484AA14FB5,37382.805450535605
niftyleastgerbil 6FBD65C22C2996B2038A090BF5E55AA7AEDEE120,37202.29560491494
FalkensteinTor02 0A7208B8903DD3FF5CDFA218A3823AF498CE69CE,37092.24952741021
niftysnowshoehare A3901DDB7799A11E9BAB90BD1DDA734DBA196337,37085.256458727155
niftyeuropeanrabbit 4031460683AE9E0512D3620C2758D98758AC6C93,37052.234247006934
F0F8 1E4F40CCEC8EE72DB1E89D3D3FC45E873CDA2134,36919.90209514808
niftyjerboa 8EE0534532EA31AA5172B1892F53B2F25C76EB02,36700.43557025835
FalkensteinTor02 695D811B130673C2DE8DCFC5A9E742790BD25066,36441.391461877756
niftydormouse E6FAC9A7F33EE66F03C55C119770B2D45D3C576B,36305.1963610586
niftyhare 6781471814DF164C2A6F17CD1F2584923FDE2101,36089.382955261506
ExwMiaTigriMesaMou 661E08534FABDBE09BA505F7A73848371C6EF732,36080.704001260245
niftytelicomys D27208881BBDB5EA56EFD1D1799187519591E325,36074.23566477631
niftyjubilex 135F2A8B32F583845F2B0E133EFD84C25026761B,35826.782608695656
ULayerKlein 20E7A5B5BA3DCB9E6F49B9D0F3EB9E20EFC7EA63,35259.75874291116
TORmany D007C5B3FC015AD4F708CA2DBB443F9FB5915987,35188.01244486452
nix 54F5D800DD9783FCF2200E80EF3D1A867A3F6D6B,35166.07120352867
nixnix99 1B710612CB33CA26B7CF9964DFE79E60B45FAF60,35155.73188405796
FalkensteinTor01 08F06A0DDAFABF9A26FCB2E392A1435F9E048216,34730.43005671078
niftykostchtchie 887CAB501A9DB68A2C44EDF98BF50B0304EED8B6,34534.63366414619
nodvrelay10 315F0BF355D96D678267D7B708127ACBC87BA7E9,34354.231096408315
niftybeshaba 06EC2C1669E5A811D9640E07CED5786DA50C5737,34292.171865154385
F3Netze 9D5A7A81BC6194555CE751F75FB196E4A3982CC5,34002.45919974795
nodvrelay13 61255768A9991E50D7994228A1768848AD6A336E,33926.7540957782
F3Netze 3C89C80E2699FB6358BBB64FDC9547AFCB5C03F7,33903.89697542533
niftygrolantor B891CB6370CF7C51C6FB24D80947AFB7ED463D00,33897.05970384373
4pyro2eu3org0 03E9F7E669C8F911C5EEC3EC094533151F857420,33872.65469439193
niftyhazelmouse 0FB2EDAB99D10A2B708370E625323C76EB895FA2,33860.385790800254
ULayerManning ABC426893B642BDA2F78D7CAE99B251126F89F74,33758.11373660995
nix666 776B878C457FC0C429BCBDD43DF53D6A3FF74CAD,33739.58333333333
niftyleastchipmunk 34F5D33DD46D7FBD380B11567132A18773BC4F57,33720.242281033396
niftygreatmother 6232FDF34FF907DC25A27327D1C05AD370FB2767,33585.17958412099
nix777 340FEFF444965E74AFB280EB8F97580DB1609947,33441.29899180844
FalkensteinTor02 F5C3DA7642BB037E0D279359AE88CD7FC03A98A0,33389.265122873345
FalkensteinTor01 D7230F4F13324A28C308AF94E2385D0A7F1B05F9,33331.89532136106
nix888 5AF32C76D8226EDC60A13522AC29E18C69E4C9E0,33331.507718966604
noce 01664D41A81F817A3E71400D6BFD40947AA40AFB,33151.18147448015
niftydiinkarazan 5628495D9939A8C139DD441402DE42F7012B7092,33084.174228103344
niftygerbil CDA2EA326E2272C57ACB26773D7252C211795B78,32787.61696597354
niftygrankhul C6ED7D37AA3CCAA586B22E0A30B395A5E582440A,32623.377047889102
ULayerSwartz 0B58A95E539FFA6C05C010F5C1DA35FB8038E3A8,32546.61224007562
nix333 7A13EDFD495EC652669B9FC09D46ACC03A04CF17,32457.095620667926
niftyguineapig EC1997D51892E4607C68E800549A1E7E4694005A,32444.290327662256
FalkensteinTor01 B70BD334FFEE23E653B75219AE12CF0236BCFCBB,32332.119959042215
Exia 07785985D27C0534C9422E22A25D276F26C96E47,32328.49740075614
F4AxFree4AllxTOR 8B64F593CAC2ED05C0FA703AEF50FF71925B569C,32140.614445494633
nobodysawmedoit C0339683AA8BCD11B2498D197FC7EB9D077589FE,32080.49724322622
5af484093f888001e0 8A017D446EFF6596C95F9E4A11F5A727EA5A19C4,32051.949039067422
niftycastoroides 9EEDBAD7EE351996DFC91578E882BEF4FE5EDBFA,32040.179111531197
niftydiatomys 50B787A9FB21417BFD7B5067707DBF82D71DB11C,32003.701086956517
FalkensteinTor01 DEF8C760A79FEF2358E03AE5A1950086ABEB953E,31824.983223062387
4zuwhp F5F76C12B07AC124B3B02E03AC526D6F1B20EB77,31712.54891304348
FalkensteinTor03 128FC6D8FBF753121C5662FEE309CCD47B64BA6B,31586.99251732829
niftychipmunk 609E598FB6A00BCF7872906B602B705B64541C50,31555.78316005041
nodvrelay20 E9C71A8F01EBA4A0AD66A8B928775CFEAFDF9D3D,31387.986216131067
nodvrelay14 A858C0D483C7649E2628F4CA1203041A8180974A,31364.781584751097
FalkensteinTor02 0512FE6BE9CCA0ED133152E64010B2FBA141EB10,31272.643431001885
PiratPartiet F27B47CED45724CBCE3B42926DD52F2091F395AC,31164.589949590427
niftygorellik DF390860B5610B8E99C5A78B4099A3705CD36B17,31138.338846880913
nodvrelay16 29680F2C9B62C99771875BE7AF161E97FE9E29CA,31053.13665721487
nlpdk F1855E09E867ECD00A4CB7D36D58170A7574C0FF,31038.421156269695
nodetechnoweenie C74B6024F2E076E7C9DBEC24E9E373FE55692C0D,30994.726055450534
niftyeltab CD09CD7C7F8815B37210C7D1A628599C78D22D6D,30937.621061751735
noa 9F90783A672015D4D40F22902964B92AD0EA0C17,30347.87988342785
UEUEUEU 01B8BEF8445F4EBC74B766D110F8A2664C95DB94,30304.994407687456
nodexit0A0D00 C04C53C20A4BEE1F3DB103CECA6834DF14119F5C,30223.74669187146
niftylagurus 1D89A810BDF84522B6036034F499A766EF294DB1,30180.178481411473
nocabal DBD67767640197FF96EC6A87684464FC48F611B6,30149.17485822306
nodemaxxxline C00A6B7541A9491629CEEADF121DCA6BEBD1FC45,30139.852236925017
TRUMP2020 23BB12BD68952BFE3D6BF4EFD010DB64D975CB02,30110.331600504098
ULayerRadack A8D68ED61673B314CC8CD31C2275ABF1E07387CC,30086.099873976054
8ac97a37 014E24C0CD21D2B9829E841D5EC1D3C415F866BF,30015.692186515433
nodvrelay17 9B2C42F84B4E985D4DDA7EAFAA666B57117C9B81,29938.715973534974
UOfMichigan 5AFAC3D00E97D6733112CC9CA2A788691FA87125,29839.879489603023
PacketPusher CBD00958A3B897774E333D75C24E6A75F5220DCC,29763.079710144924
CalyxInstitute10 42ED91DD3768F6A2A194D094A7432CBE8DA004B1,29738.20037807184
Politkowskaja 777B2DECD67C607D8857AD60E976EE3E1E8A52BF,29645.061279143036
niftyflorescaverat 0677DF0B05ECDA2EF45F26C3332731043BB89AB8,29530.765359168243
nodvrelay22 EC5ED2968962E6E44F412214B72D73EA32AC45E1,29524.900126023942
niftycottonmouse 28F4F392F8F19E3FBDE09616D9DB8143A1E2DDD3,29417.132797731567
FakeVolleyball 950134F4ABA3291EEE4E7A2F26546DB7070776A4,29394.808286074356
Enterprise 21EB2176DFD7364A8E3705ABF518E880362425FC,29348.127441713925
FalkensteinTor03 F0F13714732C347312426EC2B8D5C4940EAA45BA,29334.366729678637
niftychionomy CD97DD0842A79184A7D057ECACEF7408C239C710,29222.243462507875
niftycottontail 71AB4726D830FAE776D74AEF790CF04D8E0151B4,29212.00315059861
F3Netze E8C8667CAF3D5148E52ECF736A7B204982F78EAA,29137.116572148712
niftydagon 5E52BEA22130598F200D05C42BB66709C24E8F67,29097.27307813484
CalyxInstitute15 47E49319DD67784F1E65B5793371BE467365979E,28969.748582230623
FalkensteinTor03 7185B69E3267E71D0E4CBE30209677205DEA5E67,28917.332230623822
TURBULENCE 374227D455A938248F8010B66BECBCD417A81C99,28757.59183994959
niftyboglemming 0B3C8C2B2B1A1CA4429B9649F533BEB4D7470AEA,28694.18431001891
Akka 56927E61B51E6F363FB55498150A6DDFCF7077F2,28519.83065532451
FalkensteinTor03 599A708756048993A1029B2775EEF8C9E40BB640,28512.403906742282
0x3d008 926955277C7BDB6CD1E1561A91847CBCD5B079E5,28400.677378701952
niftybeaver 6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,28315.731884057972
niftybunny B740BCECC4A9569232CDD45C0E1330BA0D030D33,28242.98850031506
EvolynTorRelay1 6406B69F95D06F6A94CFDD83E85EE9C410A05D47,28141.40540327662
Piratenpartei03 98867F5242505A2DD581C85B1CE256090B87F138,28131.74535286705
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,28073.276465028357
