fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0 21239CC313A28B3E6CEE48D949BF7787471B1519,5800,5110,5110,5100,5100,5100,5100,5100,5100,5100,5100,5000,5000,5000,5000,5000,5010,5020,5020,6180,6250,5660,5690,5720
0000001dxx B9609624E26C705289E57F95E30FD88D159BD8AD,610,610,610,610,610,720,720,720,720,720,720,720,720,772,772,772,772,772,772,770,770,770,770,770
0001 2BD1936E0B4D5BB615CF99B0CFF74EAF19426888,7500,6950,6950,6950,7500,7500,7500,8600,8600,8600,8470,8470,8470,8470,8470,8470,8470,8100,8100,8100,8100,8100,8100,8100
0899a6cc46046c5bd0 D87831C344D1A43A39C7644DB0DD757A937D3147,20,20,20,20,20,151,151,79,85,85,85,84,84,84,84,84,84,84,84,84,84,84,73,73
0ZQIX7g6 BB0C636DE89CAC6C995CB380AAC8C4AAAB731BA8,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3400,3400,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
0acf699b2c929b3b37 BD909C209D3290D6CD2B5BB4DA24D66DDD1C6F60,20,20,20,20,143,143,149,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
0e4f10e596ff613288 7B258F55B16195A3DD864FC7D12E2593ADF094CB,210,210,158,158,158,158,158,158,140,140,140,183,183,183,183,183,183,183,183,183,210,210,220,220
0fbc6adfe4b1ba9842 3BC752C8079A6BC291C7C2F5445AB6734A8739E3,20,20,20,20,20,16,17,17,17,17,17,17,37,37,61,52,52,52,52,52,52,52,52,52
0s1nt0 60275B52E810407658FD4278EDB1749C75F956F9,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,101000,101000,102000,102000,102000,103000,103000,103000,104000,104000
0x0xxPowerEXITxx0x0 714C48C1C486123AA2D4DEAA0C8EB7EAADF60824,2770,2770,2770,2770,2960,2960,2960,2960,2850,2850,2850,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
0x161 DE249072AE90689D997D92EBEC77C38A2024DB05,2700,2700,2700,2700,2690,2670,2640,2640,2630,2620,2620,2620,2620,2610,2610,2620,2700,2700,2700,2700,2700,2380,2400,2400
0x1ea7deadbeef F475E5987E44A2B7B143A2BEE3F8128EEFD7E5A3,17100,17100,17100,17100,17100,17000,17800,17700,17600,17600,17600,17600,17600,17500,17500,17600,17600,15400,15400,19000,19000,19000,19000,19000
0x3d003 2F9A6B5ADBE91EC69F55AAFB7DC49619D31B8324,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,42000,42000,42000,42000,42000,42000,42000,42000,42000
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,42000,42000,41800,41600,41500,41200,40900,40700,40600,40600,40500,40500,40500,40500,40600,45000,48000,48600,48700,48900,49200,49300,42800,42900
0x3d069 05DDBB74AAB6F19E003188702B1E54F23035D064,880,880,880,880,880,880,978,978,978,978,800,800,800,800,800,800,800,800,800,800,800,800,800,800
0x616e6f6e 0020D8A204A81FC8C8A1D79E2324621705DE4F2F,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
0x616e6f6e 3F50D11DE55C028B8F3EFC272BB1CD9138C1F9A4,779,779,779,779,779,779,779,750,750,750,790,790,790,750,750,750,750,750,750,750,750,750,750,797
0x616e6f6e 4E62CA2A3D579C93C1C09C346EF2EF7FCFEB5664,4650,4650,4480,4480,4480,4480,4480,4480,4480,4480,4480,4910,4910,4910,4910,4910,4910,4480,4480,4480,4480,4480,4480,4480
0x616e6f6e BBAD321D682C6ADA699CD083269CFB5FB71CDEE0,4510,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
0x616e6f6e BCE2851120595E76E31645633F5FF4771D2097BD,10200,9840,9840,9840,9840,9840,9840,9840,9800,9800,9800,9800,9800,9800,9800,9800,9700,9700,9700,9700,9700,9700,9700,9700
0x616e6f6e DE514E42528D4FB8B79804B561008B482B91D402,3670,3670,3670,3670,4190,4190,4190,4190,4190,4190,4190,4190,4090,4190,4190,4190,4190,4190,4190,4190,4190,4190,3700,3700
0x64657573 2F77315CAE477550E47773BA5B1323F7FFBE3A3E,9700,9700,9700,9700,9700,9700,9700,9700,9700,9100,8340,8350,8370,8400,8430,8440,8500,8520,7800,7700,7800,7800,7800,7500
0xDEADBEEF 98325A5EBC4ABD0C94C11B43C254102BE19C5AAB,3260,3260,3260,3260,3260,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3170,3170,3170,3170,3170,3170,3170
0xPinkmansRelay4You EDE7265121B2FFD3AA956E921A469E4C3CDAED83,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900
0xTorUniqId002 35017CFAE54845B1DF5D16B15B9D368C36098B64,3380,3380,3370,3350,3340,3310,3270,3250,3240,3240,3220,3430,3430,3430,3420,3430,3440,3900,3900,3900,5230,5250,3900,3900
0xbadc0ffe 22BE1A6F9DC277BC2FA8A50FF627AA7A22D97C86,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
0xbaddad EA8637EA746451C0680559FDFF34ABA54DDAE831,7700,7710,7670,7620,7610,7530,7450,7420,7380,7380,7340,6500,7320,7360,7370,7420,7500,7520,7580,7630,7720,7820,7890,7930
0xdeadbad AE4FAE2EB5DC5D078458F0FCBF2B37F5D73F0868,9500,9510,9500,7890,7850,7830,8920,6600,6600,6600,6600,6500,6500,6500,6500,6300,6300,6300,6260,6300,6300,6320,6350,6370
0xdeadbeef D1B853ED27E4DFDCA3A54D3F2E269C4D94677F66,11000,12000,12000,12000,12400,12400,12400,12400,12400,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12100,12100
0xdeadbeef2 805C262C1459362A1196D10D885008A7D4C6A584,19000,19000,19000,19000,20000,20000,20000,20000,21500,21400,21500,21500,21500,21600,21700,21700,21900,22000,22000,22100,22200,22300,22400,22500
0xygen 7F1A90F3E4A6A2EE347274F8E91514D18350C016,298,392,392,392,392,392,392,392,392,392,488,488,488,488,488,471,471,471,250,250,380,380,389,389
1001nybrgsvgn17 E78B8256253D0C45E5ECDE44B328863AB5123050,150,150,150,150,133,133,133,133,133,133,133,133,133,130,130,130,153,153,153,153,153,153,153,153
111f5dfe06e6b0d620 D2B279F7CF20730A91F76CF9D2BAA5F0419B6B85,97,97,97,97,97,97,97,97,97,82,82,80,81,82,82,81,82,82,82,82,82,82,82,81
123456 BE1C106A570EC72440159EAD6192D761A2E83A8C,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1505192200300605 C67C33C76CDC33DD72FAA77535B48D7E96C006D2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
156908f222a8f726ba 96596EDF9FDFC2308DBB067E9BF0DFE61EE5D06F,120,120,120,147,147,147,147,147,147,147,154,154,120,120,120,153,153,153,153,153,153,153,153,120
15T01 7E317CFA44E7B6013DE4BC5F837C376A77179C72,9370,9380,9370,9360,9310,9240,9160,9140,9100,9100,9080,11000,11000,11000,11000,14500,14600,14700,14700,14800,14800,14900,15000,15000
1611849807437341 320C801BD102F09A1933C1B0A23A553914999070,1320,1320,1320,1320,1320,1320,1320,1320,1320,1640,1640,1640,1930,1930,1930,1930,1980,1980,1980,2000,2000,2000,2000,2000
1804m1 22E1D1DB4723A174E713B1BF4073DAC1C25351B3,1600,1600,1600,1430,1430,1430,1430,1430,1430,1430,1430,1550,1490,1490,1600,1750,1750,1750,1750,1750,1750,1750,1750,1750
18cd7354bd014e9e96 DE2E06FE67EAC9DD772ECB85A1FC3E037F1DAA11,2600,2960,2950,2950,2930,2910,2890,2880,2870,2870,2860,3010,3010,3020,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
19dotrs 3FF0DD5AC13713D319E09C40E93E0D26717B851D,4540,4550,4550,4560,4550,4530,4710,4710,4740,4720,4740,4740,4750,4770,4790,4790,3930,3930,3960,3980,4020,4060,4090,4110
1EpHny 3CCA722A0DB4E676B96109D61C4E9DCF2F0009EB,19000,19000,17200,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19900,19900,20000,20000
