fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0 21239CC313A28B3E6CEE48D949BF7787471B1519,5820,5820,5760,5740,5670,5630,5570,5540,5510,5840,5810,5810,5820,5820,5810,5580,5640,5660,5690,5720,5750,5790,5810,5850
0000001dxx B9609624E26C705289E57F95E30FD88D159BD8AD,982,982,982,982,960,960,960,960,960,960,960,960,960,950,950,950,950,856,798,798,798,798,798,798
0001 2BD1936E0B4D5BB615CF99B0CFF74EAF19426888,7060,7060,7060,7060,7060,7060,7060,8150,8150,8150,8150,8150,8150,8150,8150,8150,8150,8150,8150,9300,9200,9200,9200,9200
0ZQIX7g6 BB0C636DE89CAC6C995CB380AAC8C4AAAB731BA8,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4100,4100,4100,4100,4100,4100
0e4f10e596ff613288 7B258F55B16195A3DD864FC7D12E2593ADF094CB,358,358,346,346,346,346,346,346,346,346,297,297,300,300,300,300,300,300,300,300,300,300,317,317
0s1nt0 60275B52E810407658FD4278EDB1749C75F956F9,123000,123000,123000,123000,116000,116000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,114000,109000,110000,110000,110000,110000
0x0xxPowerEXITxx0x0 714C48C1C486123AA2D4DEAA0C8EB7EAADF60824,2790,2980,2790,2790,2790,3200,3200,2900,2790,2790,2790,2790,2790,2790,2790,2530,2530,2530,2530,2790,2790,2790,2790,2790
0x161 DE249072AE90689D997D92EBEC77C38A2024DB05,2200,2200,2200,2200,2260,2240,2410,2400,2390,2380,2380,2370,2370,2370,2360,2500,2500,2500,2500,2500,2500,2500,2500,2500
0x1ea7deadbeef F475E5987E44A2B7B143A2BEE3F8128EEFD7E5A3,16500,16500,17100,17000,17000,16900,16800,16700,16700,16600,18000,16600,16700,16700,16700,16800,18000,18000,18000,18000,17200,17300,17300,18000
0x3d003 2F9A6B5ADBE91EC69F55AAFB7DC49619D31B8324,42000,42000,41000,41000,42000,42000,42000,42000,42000,42000,42000,42000,42000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,36600,36500,36500,36400,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
0x3d069 05DDBB74AAB6F19E003188702B1E54F23035D064,660,660,660,660,660,660,730,740,740,569,540,540,540,540,540,540,540,540,730,730,730,730,730,730
0x616e6f6e 0020D8A204A81FC8C8A1D79E2324621705DE4F2F,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,11800,10400,10400,10400,10400,10400,10600,10600,10600,10600
0x616e6f6e 3F50D11DE55C028B8F3EFC272BB1CD9138C1F9A4,350,350,350,350,350,357,357,357,357,357,357,357,357,357,357,357,440,440,440,440,430,430,430,490
0x616e6f6e 4E62CA2A3D579C93C1C09C346EF2EF7FCFEB5664,5100,5100,5100,5100,5100,5600,5600,5600,5600,5600,5600,5600,5600,5500,5500,5500,5500,5500,5500,5500,5500,4500,4500,4500
0x616e6f6e BBAD321D682C6ADA699CD083269CFB5FB71CDEE0,3770,3770,3770,3770,3770,3800,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,3800,3800,3800,3800,3800,3800,3600,3600
0x616e6f6e BCE2851120595E76E31645633F5FF4771D2097BD,10000,10000,10100,9600,9600,10100,10100,10100,10100,10100,10100,10100,10100,10100,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
0x616e6f6e DE514E42528D4FB8B79804B561008B482B91D402,3400,3400,3400,3400,3400,3400,4250,4250,4250,4250,4100,4100,4100,4250,4250,4250,4280,4280,4280,4280,4280,4280,4280,4280
