fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0 21239CC313A28B3E6CEE48D949BF7787471B1519,7780,7400,7780,7330,7310,7300,7300,7290,7260,7280,7280,7310,7320,8300,8300,7340,8300,7380,7400,7420,8300,7490,7500
0000001dxx B9609624E26C705289E57F95E30FD88D159BD8AD,700,700,700,700,700,700,700,700,700,690,690,690,680,700,700,690,700,690,690,690,700,680,680
0001 2BD1936E0B4D5BB615CF99B0CFF74EAF19426888,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210,9210
0ZQIX7g6 BB0C636DE89CAC6C995CB380AAC8C4AAAB731BA8,4130,3720,4130,3720,3720,3720,3720,3720,3720,3720,3720,3720,3720,4840,4840,4130,4870,4130,4130,4130,4920,4130,4130
0x112B6D0 1FC89C159EA0F96D52D8A7092BF938C509DB6984,9660,6400,8470,6400,6400,6400,6400,6400,8710,8730,8740,8780,8790,8810,8850,8870,8920,8950,9000,11000,11600,11000,11000
0x1ea7deadbeef F475E5987E44A2B7B143A2BEE3F8128EEFD7E5A3,19800,19000,19700,18900,18800,18900,18800,18800,18700,18700,18700,17000,17000,18700,18700,17000,18700,17000,17000,17000,18900,17000,17000
0x3d003 2F9A6B5ADBE91EC69F55AAFB7DC49619D31B8324,40000,38000,40000,38000,38000,40000,40000,40000,40000,40000,40000,40000,40000,48000,48000,41000,44800,41000,41000,41000,44800,41000,38000
0x3d008 926955277C7BDB6CD1E1561A91847CBCD5B079E5,35000,32000,35000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,34000,34000,32000,34000,32000,32000,32000,34000,27000,27000
0x3d009 912A7C57E05606AF602EC63D1D06BBD5C7AAE516,36700,32000,36700,32000,32000,32000,32000,28700,28500,28500,28500,28500,28600,36600,36600,31000,36800,31000,31000,31000,37200,31000,31000
0x3d069 05DDBB74AAB6F19E003188702B1E54F23035D064,948,770,948,770,770,770,770,770,770,770,760,800,800,948,630,630,630,630,630,800,884,800,800
0x616e6f6e 0020D8A204A81FC8C8A1D79E2324621705DE4F2F,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11600,11000,11000,11000,11000,11000,11000,11000,10000,10000
0x616e6f6e 3F50D11DE55C028B8F3EFC272BB1CD9138C1F9A4,975,960,975,960,960,960,960,960,960,960,960,960,960,975,975,960,975,960,960,960,985,960,840
0x616e6f6e 4E62CA2A3D579C93C1C09C346EF2EF7FCFEB5664,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4140,4010,4010,4010,4010,4010,4140,4140,4140
0x616e6f6e BBAD321D682C6ADA699CD083269CFB5FB71CDEE0,3850,3850,3850,3900,3900,4300,4300,4300,4300,4300,4300,4300,4300,4880,4360,4300,4360,4190,4190,4190,4190,4190,4190
0x616e6f6e BCE2851120595E76E31645633F5FF4771D2097BD,9330,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780,9780
0x616e6f6e DE514E42528D4FB8B79804B561008B482B91D402,4140,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760
0x64657573 2F77315CAE477550E47773BA5B1323F7FFBE3A3E,9200,9200,9200,9200,9200,9200,9200,9200,9200,8100,8100,8100,8100,9600,9600,8100,9600,8570,8600,8620,9600,8700,8710
0xDEADBEEF 98325A5EBC4ABD0C94C11B43C254102BE19C5AAB,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,4100,4100,2530,2390,2390,2390,3200,3200,2900,2760
0xFE31x00 D60C2D85EAD93D23F1C00874D334BBF8A96CD529,19900,19900,19900,19800,19700,19700,19700,19700,19600,19700,18200,18200,18300,18200,18200,16000,16000,16000,16000,16000,14300,14400,14400
0xbaddad EA8637EA746451C0680559FDFF34ABA54DDAE831,9030,8500,9020,8500,8600,8600,8500,8500,8500,8500,8500,8500,8600,8980,8990,8600,9030,8500,8500,8800,8800,8200,6800
0xdeadbad AE4FAE2EB5DC5D078458F0FCBF2B37F5D73F0868,9290,6800,9280,6800,6800,6800,7200,7200,7200,7200,7460,7490,7510,8900,8900,7530,8900,7200,7200,7200,8900,7110,7100
0xdeadbeef D1B853ED27E4DFDCA3A54D3F2E269C4D94677F66,5300,5100,5300,5010,4990,4970,5300,5300,5300,5300,5300,5300,5010,5300,5300,5010,5300,5040,5040,5060,5300,5000,5000
0xygen 7F1A90F3E4A6A2EE347274F8E91514D18350C016,390,230,390,240,240,240,240,240,240,240,240,240,240,369,369,240,369,240,240,240,369,240,240
1001nybrgsvgn17 E78B8256253D0C45E5ECDE44B328863AB5123050,179,150,179,152,152,152,152,152,152,152,152,152,152,170,170,169,170,169,169,168,169,168,168
123456 BE1C106A570EC72440159EAD6192D761A2E83A8C,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
148a25f0fe29 AA8B7237B4D2C76ED4AF24B3B47B375812AACC83,27000,22000,27000,22000,22000,22000,22000,22000,22000,22000,22000,22000,23000,26000,26000,23000,26000,23000,23000,23000,26000,23000,23000
1505192200300605 C67C33C76CDC33DD72FAA77535B48D7E96C006D2,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2380,2380,2380,2380,2380,2390,2390,2390,2390,2390,2390,2390
15T01 7E317CFA44E7B6013DE4BC5F837C376A77179C72,12000,12000,12000,12000,12000,12000,11900,11900,11900,11900,11900,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000
1804m1 22E1D1DB4723A174E713B1BF4073DAC1C25351B3,2290,2470,2470,2470,2470,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2140,2140
18cd7354bd014e9e96 DE2E06FE67EAC9DD772ECB85A1FC3E037F1DAA11,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
19dotrs 3FF0DD5AC13713D319E09C40E93E0D26717B851D,2920,2920,2910,2890,2890,2880,2880,2880,2870,2880,2880,2890,2940,2940,2940,2950,2970,2980,2990,3000,3010,3020,2900
1EpHny 3CCA722A0DB4E676B96109D61C4E9DCF2F0009EB,12500,12500,12500,12500,12400,13300,12300,12300,12300,12200,12200,12300,12300,12200,12200,12300,12300,12400,12400,12500,12500,14600,14600
1TD 5E3AAA2790A3E84FE95738253B55E8BCDF608A70,430,430,430,430,430,430,430,430,430,430,430,430,430,558,558,430,558,558,558,558,558,558,558
1blupowered 070229A4CC2CFFB24EB667298A7DB5E8D11EB701,16000,16000,19000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,19000,19000,18000,19000,18000,18000,16000,19000,16000,16000
1blupowered2 CA4E9DFE87DE87E502F3B503D07EC8EFCAEE2549,33800,30000,33800,29000,29000,29000,29000,29000,25000,25000,25000,25000,25000,29000,29000,25000,29000,25000,25000,26000,29000,26000,26000
1chandotus 7DB8443AE29FBC450D34E55FA914F42BF929EE49,3300,3300,3300,3300,3300,3600,3600,3600,3600,3330,3330,3330,3320,3320,3320,3300,3300,3300,3000,3300,3300,3300,3300
1country2systems 78B7D242CDA1EFC577A9891DD9A1C66BC71C8978,1120,1120,1120,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1140,1140,1100,1140,1100,1100,1100,1140,1100,1100
1d1dchang3th3c0nf1g 79B207AD51842FA215D956B9307B3D01CD347368,12100,9060,12100,9000,8960,8950,8950,8940,8920,8950,8960,8990,9010,11100,11100,9010,12400,9090,9100,10200,12700,10200,10300
1d1dnt3d1th3c0nf1g 8E3D3C5B64A8DAD9152687C93CDCE1D98CC5E325,357,360,475,310,310,310,310,310,310,310,310,310,310,540,300,300,300,300,300,300,300,298,298
1h38zmpksr 4C114825C2EAD6D1B4B8D789C557F29F71096A01,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9
1rottor1 0D1306392F3DD79B5ADCD32FCAD252C30BA4A12D,4250,4250,4250,4230,4220,4200,4180,4170,4160,4150,4150,4160,4160,4150,4150,4160,4300,4300,4700,4700,4700,4790,4790
1torexit AED4A69836630A3375845006B5AAD03BFA3F96DC,8820,7200,8820,7100,7100,7100,7100,7200,7100,7100,7100,7100,6700,6410,7100,6700,7100,6700,7200,7200,7100,7100,7100
2000me 510F14B2EFFA8CA4131F09081CD6982C614EA508,20500,21000,24000,21000,21000,23700,23700,23700,23700,23700,23000,23000,23000,23700,23700,23000,23000,21000,21000,21000,23000,21000,21000
21b 7D31D5118D47BF86C550ABB79EDDE865EC31B67F,22600,19000,22600,19000,19000,20500,20600,20500,20500,20500,20600,20600,20700,22600,22600,20700,22800,20900,20900,20900,21000,19000,19300
22c7676e678bb03519 8EF77FD0091B4221AB59C62630C5D54F66E4C7CE,26,21,26,21,21,21,21,21,21,21,21,21,21,23,23,21,22,21,21,21,22,21,21
2501 76FFDF3CC158873643942AEA9F7A2520D3086842,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
