index,fingerprint,mean_bw
4622,niftyporcupine 7E281CD2C315C4F7A84BC7C8721C3BC974DDBFA3,51115.98109640831
4630,niftysnowshoehare A3901DDB7799A11E9BAB90BD1DDA734DBA196337,37085.256458727155
1516,Piratenpartei1 D1C5F5F8FAFA2F98A84753416BF83B83F1282137,27785.412570888464
516,Cryptocat 35DA04A92634AF2392CBA6AF158E00B5589A1CFA,22097.896739130436
4523,nels94 8EF052033309D854D6206A4C30F17AD27C87893E,19565.348692501575
3358,crmh 7A6391CBDE6AFF119B18A1BF0EE7E92D9A41BB4E,17701.33884688091
1757,Seccom03 22A6BE98D201B101C32661739967BF4DED12EF96,16364.006616257091
1587,Quintex46 C78AFFEEE320EA0F860961763E613FD2FAC855F5,15384.098141146818
4829,pcfreak 0E452A30E7E05744071678E0A059BDDB468930CD,14452.513941398865
4704,nonanet02 414385E0BA88B6F7870C389A60819BB06308E8D0,13747.641776937617
3697,formica1 71D4163D363E83AD04F2FF52594D249E2B5BA4B2,13008.395242596092
4699,nomelaga E4F7869E2E9AF579EC93F5CCB823ECFCB297DA4E,12354.514886578449
3323,cobrakai A678DA60A6C7CB746553430D84AF45272ECDDA95,11618.539303717707
3882,hellzone 1ED6B8A5D70BB7BFEFC46E46592965FF00AD3EE5,11039.620589161941
3994,imascriptkiddiehelp D744A380F4FC34F9D11208A2F9E8C69DD556C376,10369.393115942028
793,FranconianStar 4ABED7005889911128E4F62D40D642A017360009,9792.025598613736
1749,Schniedelwutz 0783A7C2C5671CF7C25D8847A323598F003986C6,9070.092233774421
4341,malekalcom 834C91DEEB2FE4FEFCE55A99C378968FB659115C,8374.926669817265
5619,torrelay182365 0C2781011D61CCB009459B51158DA6328BA3DB3B,7608.316871455579
5754,vega 9BDE2A880F985C80E88F3ACC4446E826DEAC7AD1,6657.568919344676
